Manufacturer,Model,Year,Category,Mileage,Fuel type,Engine Volume,Cylinders,Gear box type,Drive wheels,Doors,Airbags,Wheel,Interior material,Technical inspection,Catalyst,Price
Audi,A4,2019,Sedan,34100 km,Petrol,2.0 turbo,4,Tiptronic,4x4,4/5,6,Left,Leather,Yes,Yes,37600 $
Audi,A8,2016,Sedan,106000 km,Petrol,3.0 turbo,6,Automatic,4x4,4/5,12,Left,Leather,Yes,Yes,46800 $
Audi,A4,2016,Sedan,146000 km,Petrol,2.0,4,Tiptronic,4x4,4/5,10,Left,Leather,Yes,Yes,42800 $
Audi,A4,2004,Sedan,150000 km,CNG,1.8 turbo,4,Tiptronic,4x4,4/5,8,Left,Leather,Yes,Yes,4810 $
Audi,S6,2012,Sedan,95000 km,Petrol,4.0,8,Tiptronic,4x4,4/5,9,Left,Leather,Yes,Yes,50800 $
Audi,Q5,2013,Jeep,140000 km,Petrol,2.0 turbo,4,Tiptronic,4x4,4/5,8,Left,Leather,Yes,Yes,29100 $
Audi,A6,2019,Sedan,55000 km,Petrol,3.0 turbo,6,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,112300 $
Audi,S7,2015,Sedan,120000 km,Petrol,4.0 turbo,8,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,69500 $
Audi,Q5,2014,Jeep,154000 km,Petrol,2.0 turbo,6,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,31300 $
Audi,Q8,2022,Jeep,42000 km,Petrol,3.0 turbo,6,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,197800 $
Audi,Q3,2017,Jeep,42000 km,Petrol,2.0 turbo,4,Tiptronic,Front,4/5,8,Left,Leather,Yes,Yes,38000 $
Audi,Q7,2021,Jeep,22400 km,Petrol,3.0 turbo,6,Automatic,4x4,4/5,10,Left,Leather,Yes,Yes,80200 $
Audi,A6,2013,Sedan,106570 km,Petrol,3.0 turbo,6,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,33900 $
Audi,Q3,2016,Jeep,63000 km,Petrol,2.0,4,Tiptronic,4x4,4/5,9,Left,Leather,Yes,Yes,34200 $
Audi,A6,2020,Universal,96800 km,Diesel,3.0 turbo,6,Automatic,4x4,4/5,6,Left,Combined,Yes,Yes,118000 $
Audi,A6,2014,Sedan,176000 km,Petrol,2.0,4,Tiptronic,4x4,4/5,9,Left,Leather,Yes,,36900 $
Audi,Q5,2012,Jeep,195500 km,Petrol,3.2,6,Automatic,4x4,4/5,9,Left,Leather,Yes,Yes,
Audi,A7,2014,Sedan,185000 km,Diesel,3.0,6,Tiptronic,4x4,4/5,9,Left,Leather,Yes,Yes,45400 $
Audi,Q7,2021,Jeep,64000 km,Petrol,2.0,4,Automatic,4x4,4/5,9,Left,Leather,Yes,Yes,141700 $
Audi,Q7,2016,Jeep,192000 km,Petrol,3.0 turbo,6,Tiptronic,4x4,4/5,12,Left,Combined,Yes,Yes,69500 $
Audi,A4,2015,Sedan,59422 km,Petrol,2.0 turbo,12,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,28600 $
Audi,A5,2012,Coupe,110000 km,Petrol,2.0 turbo,4,Tiptronic,4x4,2/3,12,Left,Leather,Yes,,18700 $
Audi,Q3,2021,Jeep,29000 km,Petrol,2.0 turbo,4,Tiptronic,4x4,4/5,6,Left,Leather,Yes,Yes,85500 $
Audi,S5,2017,Sedan,140000 km,Petrol,3.0,6,Automatic,4x4,4/5,9,Left,Leather,Yes,Yes,93600 $
Audi,A7,2016,Coupe,144000 km,Petrol,3.0 turbo,6,Automatic,4x4,4/5,10,Left,Leather,Yes,Yes,50800 $
Audi,Q5,2015,Сrossover,136000 km,Petrol,2.0,6,Tiptronic,4x4,4/5,4,Left,Leather,Yes,Yes,24100 $
Audi,Q5,2014,Jeep,137000 km,Petrol,3.0,6,Automatic,4x4,4/5,10,Left,Leather,Yes,Yes,38800 $
Audi,S5,2022,Sedan,33485 km,Diesel,3.0,6,Tiptronic,4x4,4/5,12,Left,Alcantara,Yes,Yes,139000 $
Audi,A6,2013,Sedan,152000 km,Diesel,3.0 turbo,6,Automatic,4x4,4/5,4,Left,Leather,Yes,Yes,33400 $
Audi,Q5,2012,Jeep,154000 km,Petrol,3.2,4,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,40100 $
BMW,328,2012,Sedan,184000 km,Petrol,2.0,4,Automatic,Rear,4/5,9,Left,Leather,Yes,No,9000 $
BMW,X5,2021,Jeep,52800 km,Petrol,3.0 turbo,6,Automatic,4x4,4/5,12,Left,Leather,Yes,Yes,52000 $
BMW,X6,2010,Jeep,209600 km,Petrol,3.0 turbo,6,Tiptronic,4x4,4/5,10,Left,Leather,Yes,Yes,11700 $
BMW,X5,2014,Jeep,196362 km,Petrol,3.0 turbo,6,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,17000 $
BMW,X5,2019,Jeep,0 km,Petrol,4.4,10,Tiptronic,4x4,4/5,9,Left,Leather,Yes,Yes,40000 $
BMW,X5,2014,Jeep,130000 km,Petrol,3.0 turbo,6,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,19500 $
BMW,428,2014,Sedan,14000 km,Petrol,2.0,4,Automatic,Front,>5,12,Left,Leather,Yes,Yes,11900 $
BMW,X5,2015,Jeep,240000 km,Petrol,3.0,6,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,22000 $
BMW,328,2012,Sedan,240000 km,Petrol,2.0 turbo,1,Tiptronic,Rear,4/5,9,Left,Leather,Yes,Yes,7000 $
